name,compressed_bit_size,original_bit_theory,avg_bit_per_entry,time_quantlization,time_val2index,time_encoding,time_used
R_0_E_0_S_7_B_65.pt,186856666,235053056,12.71928434744537,0.5634355545043945,1.5664258003234863,6.607935428619385,8.737796783447266
R_0_E_0_S_52_B_35.pt,180040010,235053056,12.255276357691772,0.8418278694152832,1.5523507595062256,11.720537185668945,14.114715814590454
R_0_E_0_S_20_B_10.pt,170384528,235053056,11.59803022514202,0.5797791481018066,2.4268105030059814,13.412802457809448,16.419392108917236
R_1_E_0_S_37_B_125.pt,145592470,235053056,9.910441326063848,0.5786559581756592,1.7132823467254639,15.23896837234497,17.530906677246094
R_0_E_0_S_2_B_135.pt,137302314,235053056,9.346132576978706,0.7111639976501465,1.313403606414795,16.641899824142456,18.666467428207397
R_1_E_0_S_42_B_135.pt,85781618,235053056,5.839132285095668,1.8474063873291016,3.603133201599121,14.599757194519043,20.050296783447266
R_1_E_0_S_51_B_4.pt,185970110,234897408,12.667324792276975,0.9446451663970947,5.582952976226807,15.993237495422363,22.520835638046265
R_1_E_0_S_25_B_89.pt,183525854,234897408,12.500834679282626,0.7496168613433838,4.724893808364868,18.501394510269165,23.975905179977417
R_1_E_0_S_20_B_115.pt,148075738,235053056,10.07947672886244,1.4373688697814941,4.300593614578247,17.287158489227295,23.025120973587036
R_0_E_0_S_2_B_90.pt,192893068,235053056,13.130180651639773,0.5963418483734131,4.675037860870361,18.68741774559021,23.958797454833984
R_0_E_0_S_31_B_139.pt,196276320,234897408,13.369330665411175,0.8814849853515625,4.7875471115112305,18.25472593307495,23.923758029937744
R_0_E_0_S_35_B_89.pt,183269410,234897408,12.483367036557508,1.023437261581421,5.091919183731079,18.246423721313477,24.361780166625977
R_1_E_0_S_25_B_69.pt,189146918,234897408,12.883712569531632,1.2232606410980225,4.760029554367065,18.263898611068726,24.247188806533813
R_1_E_0_S_1_B_9.pt,217850204,234897408,14.838832380815372,1.060373067855835,5.207952976226807,18.198745012283325,24.467071056365967
R_1_E_0_S_7_B_25.pt,182399030,235053056,12.415854231650577,0.5643570423126221,3.3336598873138428,25.013903856277466,28.91192078590393
R_0_E_0_S_20_B_30.pt,170827852,235053056,11.628207173788033,0.9720299243927002,3.8959720134735107,25.004539728164673,29.872541666030884
R_0_E_0_S_44_B_100.pt,155631284,235053056,10.593780767521695,2.1248278617858887,4.740299701690674,21.796430826187134,28.661558389663696
R_0_E_0_S_43_B_4.pt,189032980,234897408,12.875951700582409,1.2548201084136963,3.7401914596557617,25.30646324157715,30.301474809646606
R_0_E_0_S_13_B_44.pt,215068452,234897408,14.649353780864198,1.830934762954712,3.3990252017974854,25.975223541259766,31.205183506011963
R_1_E_0_S_6_B_31.pt,879105968,1086324736,12.94796576186957,2.4641809463500977,4.077300071716309,32.773709297180176,39.31519031524658
R_1_E_0_S_43_B_58.pt,764351122,1086324736,11.25779202730039,2.3554065227508545,5.526102781295776,35.33782124519348,43.21933054924011
